Tickers,ROE>5,Increasing Revenue,Positive OCF,Increasing EPS,Quality of Earnings,Long Term Debt vs Asset,Increasing Net Income,Market Cap > Median,Increasing Asset Turnover
1508 HK Equity,1,1,1,1,1,1,1,1,1,1
2799 HK Equity,1,1,1,1,1,1,1,1,1,1
378 HK Equity,1,1,1,1,1,1,1,1,1,1
388 HK Equity,1,1,1,1,1,1,1,1,1,1
440 HK Equity,1,1,1,1,1,1,1,1,1,1
717 HK Equity,1,1,1,1,1,1,1,1,1,1
1339 HK Equity,1,1,1,1,1,1,1,1,1,1
1776 HK Equity,1,1,1,1,1,1,1,1,1,1
1359 HK Equity,1,1,1,1,1,1,1,1,1,1
1375 HK Equity,1,1,1,1,1,1,1,1,1,1
867 HK Equity,1,1,1,1,1,1,1,1,1,1
2607 HK Equity,1,1,1,1,1,1,1,1,1,1
1666 HK Equity,1,1,1,1,1,1,1,1,1,1
1302 HK Equity,1,1,1,1,1,1,1,1,1,1
570 HK Equity,1,1,1,1,1,1,1,1,1,1
1066 HK Equity,1,1,1,1,1,1,1,1,1,1
2877 HK Equity,1,1,1,1,1,1,1,1,1,1
3933 HK Equity,1,1,1,1,1,1,1,1,1,1
1093 HK Equity,1,1,1,1,1,1,1,1,1,1
241 HK Equity,1,1,1,1,1,1,1,1,1,1
950 HK Equity,1,1,1,1,1,1,1,1,1,1
1099 HK Equity,1,1,1,1,1,1,1,1,1,1
874 HK Equity,1,1,1,1,1,1,1,1,1,1
2196 HK Equity,1,1,1,1,1,1,1,1,1,1
853 HK Equity,1,1,1,1,1,1,1,1,1,1
460 HK Equity,1,1,1,1,1,1,1,1,1,1
1177 HK Equity,1,1,1,1,1,1,1,1,1,1
2005 HK Equity,1,1,1,1,1,1,1,1,1,1
2269 HK Equity,1,1,1,1,1,1,1,1,1,1
775 HK Equity,1,1,1,1,1,1,1,1,1,1
3320 HK Equity,1,1,1,1,1,1,1,1,1,1
512 HK Equity,1,1,1,1,1,1,1,1,1,1
1530 HK Equity,1,1,1,1,1,1,1,1,1,1
2666 HK Equity,1,1,1,1,1,1,1,1,1,1
1548 HK Equity,1,1,1,1,1,1,1,1,1,1
1345 HK Equity,1,1,1,1,1,1,1,1,1,1
1515 HK Equity,1,1,1,1,1,1,1,1,1,1
1681 HK Equity,1,1,1,1,1,1,1,1,1,1
1513 HK Equity,1,1,1,1,1,1,1,1,1,1
2186 HK Equity,1,1,1,1,1,1,1,1,1,1
1829 HK Equity,1,1,1,1,1,1,1,1,1,1
1186 HK Equity,1,1,1,1,1,1,1,1,1,1
368 HK Equity,1,1,1,1,1,1,1,1,1,1
2208 HK Equity,1,1,1,1,1,1,1,1,1,1
3339 HK Equity,1,1,1,1,1,1,1,1,1,1
152 HK Equity,1,1,1,1,1,1,1,1,1,1
729 HK Equity,1,1,1,1,1,1,1,1,1,1
1308 HK Equity,1,1,1,1,1,1,1,1,1,1
687 HK Equity,1,1,1,1,1,1,1,1,1,1
1052 HK Equity,1,1,1,1,1,1,1,1,1,1
1800 HK Equity,1,1,1,1,1,1,1,1,1,1
1882 HK Equity,1,1,1,1,1,1,1,1,1,1
2880 HK Equity,1,1,1,1,1,1,1,1,1,1
737 HK Equity,1,1,1,1,1,1,1,1,1,1
659 HK Equity,1,1,1,1,1,1,1,1,1,1
670 HK Equity,1,1,1,1,1,1,1,1,1,1
2343 HK Equity,1,1,1,1,1,1,1,1,1,1
598 HK Equity,1,1,1,1,1,1,1,1,1,1
1138 HK Equity,1,1,1,1,1,1,1,1,1,1
1618 HK Equity,1,1,1,1,1,1,1,1,1,1
1205 HK Equity,1,1,1,1,1,1,1,1,1,1
66 HK Equity,1,1,1,1,1,1,1,1,1,1
1055 HK Equity,1,1,1,1,1,1,1,1,1,1
316 HK Equity,1,1,1,1,1,1,1,1,1,1
317 HK Equity,1,1,1,1,1,1,1,1,1,1
363 HK Equity,1,1,1,1,1,1,1,1,1,1
144 HK Equity,1,1,1,1,1,1,1,1,1,1
1196 HK Equity,1,1,1,1,1,1,1,1,1,1
3898 HK Equity,1,1,1,1,1,1,1,1,1,1
3899 HK Equity,1,1,1,1,1,1,1,1,1,1
1766 HK Equity,1,1,1,1,1,1,1,1,1,1
3382 HK Equity,1,1,1,1,1,1,1,1,1,1
439 HK Equity,1,1,1,1,1,1,1,1,1,1
293 HK Equity,1,1,1,1,1,1,1,1,1,1
656 HK Equity,1,1,1,1,1,1,1,1,1,1
658 HK Equity,1,1,1,1,1,1,1,1,1,1
753 HK Equity,1,1,1,1,1,1,1,1,1,1
179 HK Equity,1,1,1,1,1,1,1,1,1,1
631 HK Equity,1,1,1,1,1,1,1,1,1,1
390 HK Equity,1,1,1,1,1,1,1,1,1,1
576 HK Equity,1,1,1,1,1,1,1,1,1,1
2866 HK Equity,1,1,1,1,1,1,1,1,1,1
2128 HK Equity,1,1,1,1,1,1,1,1,1,1
1919 HK Equity,1,1,1,1,1,1,1,1,1,1
1164 HK Equity,1,1,1,1,1,1,1,1,1,1
694 HK Equity,1,1,1,1,1,1,1,1,1,1
2338 HK Equity,1,1,1,1,1,1,1,1,1,1
1315 HK Equity,1,1,1,1,1,1,1,1,1,1
1157 HK Equity,1,1,1,1,1,1,1,1,1,1
3808 HK Equity,1,1,1,1,1,1,1,1,1,1
257 HK Equity,1,1,1,1,1,1,1,1,1,1
1199 HK Equity,1,1,1,1,1,1,1,1,1,1
2357 HK Equity,1,1,1,1,1,1,1,1,1,1
548 HK Equity,1,1,1,1,1,1,1,1,1,1
2588 HK Equity,1,1,1,1,1,1,1,1,1,1
525 HK Equity,1,1,1,1,1,1,1,1,1,1
2869 HK Equity,1,1,1,1,1,1,1,1,1,1
517 HK Equity,1,1,1,1,1,1,1,1,1,1
242 HK Equity,1,1,1,1,1,1,1,1,1,1
182 HK Equity,1,1,1,1,1,1,1,1,1,1
2386 HK Equity,1,1,1,1,1,1,1,1,1,1
177 HK Equity,1,1,1,1,1,1,1,1,1,1
267 HK Equity,1,1,1,1,1,1,1,1,1,1
2727 HK Equity,1,1,1,1,1,1,1,1,1,1
3311 HK Equity,1,1,1,1,1,1,1,1,1,1
2039 HK Equity,1,1,1,1,1,1,1,1,1,1
699 HK Equity,1,1,1,1,1,1,1,1,1,1
1 HK Equity,1,1,1,1,1,1,1,1,1,1
636 HK Equity,1,1,1,1,1,1,1,1,1,1
586 HK Equity,1,1,1,1,1,1,1,1,1,1
1848 HK Equity,1,1,1,1,1,1,1,1,1,1
3969 HK Equity,1,1,1,1,1,1,1,1,1,1
777 HK Equity,1,1,1,1,1,1,1,1,1,1
582 HK Equity,1,1,1,1,1,1,1,1,1,1
1089 HK Equity,1,1,1,1,1,1,1,1,1,1
763 HK Equity,1,1,1,1,1,1,1,1,1,1
3888 HK Equity,1,1,1,1,1,1,1,1,1,1
1888 HK Equity,1,1,1,1,1,1,1,1,1,1
2382 HK Equity,1,1,1,1,1,1,1,1,1,1
885 HK Equity,1,1,1,1,1,1,1,1,1,1
2018 HK Equity,1,1,1,1,1,1,1,1,1,1
992 HK Equity,1,1,1,1,1,1,1,1,1,1
303 HK Equity,1,1,1,1,1,1,1,1,1,1
968 HK Equity,1,1,1,1,1,1,1,1,1,1
3800 HK Equity,1,1,1,1,1,1,1,1,1,1
1282 HK Equity,1,1,1,1,1,1,1,1,1,1
3336 HK Equity,1,1,1,1,1,1,1,1,1,1
327 HK Equity,1,1,1,1,1,1,1,1,1,1
700 HK Equity,1,1,1,1,1,1,1,1,1,1
698 HK Equity,1,1,1,1,1,1,1,1,1,1
522 HK Equity,1,1,1,1,1,1,1,1,1,1
818 HK Equity,1,1,1,1,1,1,1,1,1,1
2038 HK Equity,1,1,1,1,1,1,1,1,1,1
2342 HK Equity,1,1,1,1,1,1,1,1,1,1
354 HK Equity,1,1,1,1,1,1,1,1,1,1
981 HK Equity,1,1,1,1,1,1,1,1,1,1
696 HK Equity,1,1,1,1,1,1,1,1,1,1
268 HK Equity,1,1,1,1,1,1,1,1,1,1
732 HK Equity,1,1,1,1,1,1,1,1,1,1
2280 HK Equity,1,1,1,1,1,1,1,1,1,1
861 HK Equity,1,1,1,1,1,1,1,1,1,1
6088 HK Equity,1,1,1,1,1,1,1,1,1,1
1357 HK Equity,1,1,1,1,1,1,1,1,1,1
148 HK Equity,1,1,1,1,1,1,1,1,1,1
3396 HK Equity,1,1,1,1,1,1,1,1,1,1
799 HK Equity,1,1,1,1,1,1,1,1,1,1
3393 HK Equity,1,1,1,1,1,1,1,1,1,1
1347 HK Equity,1,1,1,1,1,1,1,1,1,1
6869 HK Equity,1,1,1,1,1,1,1,1,1,1
285 HK Equity,1,1,1,1,1,1,1,1,1,1
1980 HK Equity,1,1,1,1,1,1,1,1,1,1
1313 HK Equity,1,1,1,1,1,1,1,1,1,1
2099 HK Equity,1,1,1,1,1,1,1,1,1,1
976 HK Equity,1,1,1,1,1,1,1,1,1,1
906 HK Equity,1,1,1,1,1,1,1,1,1,1
1378 HK Equity,1,1,1,1,1,1,1,1,1,1
546 HK Equity,1,1,1,1,1,1,1,1,1,1
2009 HK Equity,1,1,1,1,1,1,1,1,1,1
581 HK Equity,1,1,1,1,1,1,1,1,1,1
297 HK Equity,1,1,1,1,1,1,1,1,1,1
1333 HK Equity,1,1,1,1,1,1,1,1,1,1
2899 HK Equity,1,1,1,1,1,1,1,1,1,1
338 HK Equity,1,1,1,1,1,1,1,1,1,1
358 HK Equity,1,1,1,1,1,1,1,1,1,1
347 HK Equity,1,1,1,1,1,1,1,1,1,1
2314 HK Equity,1,1,1,1,1,1,1,1,1,1
914 HK Equity,1,1,1,1,1,1,1,1,1,1
639 HK Equity,1,1,1,1,1,1,1,1,1,1
2689 HK Equity,1,1,1,1,1,1,1,1,1,1
468 HK Equity,1,1,1,1,1,1,1,1,1,1
3993 HK Equity,1,1,1,1,1,1,1,1,1,1
189 HK Equity,1,1,1,1,1,1,1,1,1,1
2233 HK Equity,1,1,1,1,1,1,1,1,1,1
3983 HK Equity,1,1,1,1,1,1,1,1,1,1
3323 HK Equity,1,1,1,1,1,1,1,1,1,1
1818 HK Equity,1,1,1,1,1,1,1,1,1,1
1208 HK Equity,1,1,1,1,1,1,1,1,1,1
336 HK Equity,1,1,1,1,1,1,1,1,1,1
323 HK Equity,1,1,1,1,1,1,1,1,1,1
1250 HK Equity,1,1,1,1,1,1,1,1,1,1
2600 HK Equity,1,1,1,1,1,1,1,1,1,1
1636 HK Equity,1,1,1,1,1,1,1,1,1,1
19 HK Equity,1,1,1,1,1,1,1,1,1,1
3900 HK Equity,1,1,1,1,1,1,1,1,1,1
1238 HK Equity,1,1,1,1,1,1,1,1,1,1
1638 HK Equity,1,1,1,1,1,1,1,1,1,1
14 HK Equity,1,1,1,1,1,1,1,1,1,1
480 HK Equity,1,1,1,1,1,1,1,1,1,1
1918 HK Equity,1,1,1,1,1,1,1,1,1,1
1777 HK Equity,1,1,1,1,1,1,1,1,1,1
173 HK Equity,1,1,1,1,1,1,1,1,1,1
978 HK Equity,1,1,1,1,1,1,1,1,1,1
535 HK Equity,1,1,1,1,1,1,1,1,1,1
12 HK Equity,1,1,1,1,1,1,1,1,1,1
960 HK Equity,1,1,1,1,1,1,1,1,1,1
1207 HK Equity,1,1,1,1,1,1,1,1,1,1
405 HK Equity,1,1,1,1,1,1,1,1,1,1
808 HK Equity,1,1,1,1,1,1,1,1,1,1
823 HK Equity,1,1,1,1,1,1,1,1,1,1
435 HK Equity,1,1,1,1,1,1,1,1,1,1
813 HK Equity,1,1,1,1,1,1,1,1,1,1
878 HK Equity,1,1,1,1,1,1,1,1,1,1
2868 HK Equity,1,1,1,1,1,1,1,1,1,1
817 HK Equity,1,1,1,1,1,1,1,1,1,1
1109 HK Equity,1,1,1,1,1,1,1,1,1,1
17 HK Equity,1,1,1,1,1,1,1,1,1,1
688 HK Equity,1,1,1,1,1,1,1,1,1,1
101 HK Equity,1,1,1,1,1,1,1,1,1,1
683 HK Equity,1,1,1,1,1,1,1,1,1,1
87 HK Equity,1,1,1,1,1,1,1,1,1,1
1668 HK Equity,1,1,1,1,1,1,1,1,1,1
1628 HK Equity,1,1,1,1,1,1,1,1,1,1
337 HK Equity,1,1,1,1,1,1,1,1,1,1
1966 HK Equity,1,1,1,1,1,1,1,1,1,1
2777 HK Equity,1,1,1,1,1,1,1,1,1,1
87001 HK Equity,1,1,1,1,1,1,1,1,1,1
410 HK Equity,1,1,1,1,1,1,1,1,1,1
563 HK Equity,1,1,1,1,1,1,1,1,1,1
2007 HK Equity,1,1,1,1,1,1,1,1,1,1
119 HK Equity,1,1,1,1,1,1,1,1,1,1
35 HK Equity,1,1,1,1,1,1,1,1,1,1
845 HK Equity,1,1,1,1,1,1,1,1,1,1
2778 HK Equity,1,1,1,1,1,1,1,1,1,1
10 HK Equity,1,1,1,1,1,1,1,1,1,1
272 HK Equity,1,1,1,1,1,1,1,1,1,1
3377 HK Equity,1,1,1,1,1,1,1,1,1,1
3883 HK Equity,1,1,1,1,1,1,1,1,1,1
3383 HK Equity,1,1,1,1,1,1,1,1,1,1
1176 HK Equity,1,1,1,1,1,1,1,1,1,1
3333 HK Equity,1,1,1,1,1,1,1,1,1,1
83 HK Equity,1,1,1,1,1,1,1,1,1,1
1813 HK Equity,1,1,1,1,1,1,1,1,1,1
778 HK Equity,1,1,1,1,1,1,1,1,1,1
1972 HK Equity,1,1,1,1,1,1,1,1,1,1
996 HK Equity,1,1,1,1,1,1,1,1,1,1
488 HK Equity,1,1,1,1,1,1,1,1,1,1
832 HK Equity,1,1,1,1,1,1,1,1,1,1
81 HK Equity,1,1,1,1,1,1,1,1,1,1
1997 HK Equity,1,1,1,1,1,1,1,1,1,1
604 HK Equity,1,1,1,1,1,1,1,1,1,1
754 HK Equity,1,1,1,1,1,1,1,1,1,1
123 HK Equity,1,1,1,1,1,1,1,1,1,1
4 HK Equity,1,1,1,1,1,1,1,1,1,1
1098 HK Equity,1,1,1,1,1,1,1,1,1,1
1528 HK Equity,1,1,1,1,1,1,1,1,1,1
2669 HK Equity,1,1,1,1,1,1,1,1,1,1
2768 HK Equity,1,1,1,1,1,1,1,1,1,1
3301 HK Equity,1,1,1,1,1,1,1,1,1,1
163 HK Equity,1,1,1,1,1,1,1,1,1,1
16 HK Equity,1,1,1,1,1,1,1,1,1,1
20 HK Equity,1,1,1,1,1,1,1,1,1,1
127 HK Equity,1,1,1,1,1,1,1,1,1,1
95 HK Equity,1,1,1,1,1,1,1,1,1,1
607 HK Equity,1,1,1,1,1,1,1,1,1,1
884 HK Equity,1,1,1,1,1,1,1,1,1,1
1030 HK Equity,1,1,1,1,1,1,1,1,1,1
1113 HK Equity,1,1,1,1,1,1,1,1,1,1
3380 HK Equity,1,1,1,1,1,1,1,1,1,1
1622 HK Equity,1,1,1,1,1,1,1,1,1,1
2202 HK Equity,1,1,1,1,1,1,1,1,1,1
1778 HK Equity,1,1,1,1,1,1,1,1,1,1
728 HK Equity,1,1,1,1,1,1,1,1,1,1
215 HK Equity,1,1,1,1,1,1,1,1,1,1
8 HK Equity,1,1,1,1,1,1,1,1,1,1
552 HK Equity,1,1,1,1,1,1,1,1,1,1
1883 HK Equity,1,1,1,1,1,1,1,1,1,1
941 HK Equity,1,1,1,1,1,1,1,1,1,1
762 HK Equity,1,1,1,1,1,1,1,1,1,1
315 HK Equity,1,1,1,1,1,1,1,1,1,1
1310 HK Equity,1,1,1,1,1,1,1,1,1,1
816 HK Equity,1,1,1,1,1,1,1,1,1,1
1363 HK Equity,1,1,1,1,1,1,1,1,1,1
916 HK Equity,1,1,1,1,1,1,1,1,1,1
2380 HK Equity,1,1,1,1,1,1,1,1,1,1
392 HK Equity,1,1,1,1,1,1,1,1,1,1
686 HK Equity,1,1,1,1,1,1,1,1,1,1
6 HK Equity,1,1,1,1,1,1,1,1,1,1
836 HK Equity,1,1,1,1,1,1,1,1,1,1
1083 HK Equity,1,1,1,1,1,1,1,1,1,1
6828 HK Equity,1,1,1,1,1,1,1,1,1,1
579 HK Equity,1,1,1,1,1,1,1,1,1,1
958 HK Equity,1,1,1,1,1,1,1,1,1,1
2 HK Equity,1,1,1,1,1,1,1,1,1,1
451 HK Equity,1,1,1,1,1,1,1,1,1,1
2688 HK Equity,1,1,1,1,1,1,1,1,1,1
855 HK Equity,1,1,1,1,1,1,1,1,1,1
902 HK Equity,1,1,1,1,1,1,1,1,1,1
371 HK Equity,1,1,1,1,1,1,1,1,1,1
1193 HK Equity,1,1,1,1,1,1,1,1,1,1
735 HK Equity,1,1,1,1,1,1,1,1,1,1
991 HK Equity,1,1,1,1,1,1,1,1,1,1
882 HK Equity,1,1,1,1,1,1,1,1,1,1
1257 HK Equity,1,1,1,1,1,1,1,1,1,1
603 HK Equity,1,1,1,1,1,1,1,1,1,1
3 HK Equity,1,1,1,1,1,1,1,1,1,1
270 HK Equity,1,1,1,1,1,1,1,1,1,1
384 HK Equity,1,1,1,1,1,1,1,1,1,1
1071 HK Equity,1,1,1,1,1,1,1,1,1,1
1038 HK Equity,1,1,1,1,1,1,1,1,1,1
1816 HK Equity,1,1,1,1,1,1,1,1,1,1
1811 HK Equity,1,1,1,1,1,1,1,1,1,1
1381 HK Equity,1,1,1,1,1,1,1,1,1,1
6136 HK Equity,1,1,1,1,1,1,1,1,1,1
